DATAOUT, 'database', 'ranks', 'pub size', 'delay', 'total size', 'count', 'min latency', 'mean latency', 'max latency', 'variance latency'
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00000.db, 2, 128, 1000000, 768, 1536, 0.00314497947692871, 0.00842108996585011, 0.0275981426239014, 6.99341002021383e-05
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00001.db, 2, 128, 1000000, 768, 1536, 0.000953912734985352, 0.00414894986897707, 0.0128951072692871, 1.37486312894135e-05
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00000.db, 2, 128, 100000, 7680, 15360, 0.00157308578491211, 0.00239748105717202, 0.0102779865264893, 1.04908422304198e-06
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00001.db, 2, 128, 100000, 7680, 15360, 0.000905990600585938, 0.00137985975792011, 0.00488615036010742, 1.39752878053618e-07
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00000.db, 2, 128, 10000, 76800, 153600, 0.00107407569885254, 0.00157886601984501, 0.0176379680633545, 5.24363168332273e-07
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00001.db, 2, 128, 10000, 76800, 153600, 0.000922203063964844, 0.00147059753537178, 0.0144860744476318, 3.66716514835428e-07
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00000.db, 2, 192, 1000000, 1152, 2304, 0.00388598442077637, 0.0113198345320092, 0.0309770107269287, 7.23418450792849e-05
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00001.db, 2, 192, 1000000, 1152, 2304, 0.00123500823974609, 0.00531186328993903, 0.0151607990264893, 1.68157275212232e-05
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00000.db, 2, 192, 100000, 11520, 23040, 0.00151681900024414, 0.0034330722461972, 0.0186200141906738, 3.85319709173307e-06
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00001.db, 2, 192, 100000, 11520, 23040, 0.00118803977966309, 0.00215789592928357, 0.0124771595001221, 1.66764952851334e-06
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00000.db, 2, 192, 10000, 115200, 230400, 0.00134706497192383, 0.00206503086516427, 0.0189380645751953, 6.35129424370844e-07
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00001.db, 2, 192, 10000, 115200, 230400, 0.0011599063873291, 0.00176668158214953, 0.0125381946563721, 4.11751747230781e-07
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00000.db, 2, 256, 1000000, 1536, 3072, 0.00332403182983398, 0.0112346167055269, 0.0338640213012695, 9.51997092672611e-05
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00001.db, 2, 256, 1000000, 1536, 3072, 0.00148510932922363, 0.0057682350743562, 0.0175879001617432, 2.40381291397471e-05
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00000.db, 2, 256, 100000, 15360, 30720, 0.00190401077270508, 0.00281863918838402, 0.0120658874511719, 1.30951147433858e-06
